Timestamp,Protocol,Local_Address,Remote_Address,Status
2026-03-17 12:22:24,TCP,192.168.16.235:49431,4.213.25.242:443,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:54575,172.253.118.188:5228,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:49428,4.213.25.240:443,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:49807,140.82.114.21:443,ESTABLISHED
2026-03-17 12:22:24,TCP,127.0.0.1:64262,127.0.0.1:64261,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:57239,140.82.113.25:443,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:56297,76.223.92.165:443,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:49842,142.251.10.188:5228,ESTABLISHED
2026-03-17 12:22:24,TCP,127.0.0.1:65337,127.0.0.1:65336,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:63573,142.250.193.170:443,ESTABLISHED
2026-03-17 12:22:25,TCP,192.168.16.235:53966,20.195.65.193:443,ESTABLISHED
2026-03-17 12:22:26,TCP,192.168.16.235:53969,20.195.65.193:443,ESTABLISHED
2026-03-17 12:22:27,TCP,192.168.16.235:53973,13.107.6.158:443,ESTABLISHED
2026-03-17 12:22:27,TCP,192.168.16.235:53975,20.195.84.7:443,ESTABLISHED
2026-03-17 12:22:27,TCP,192.168.16.235:53972,13.107.6.158:443,ESTABLISHED
2026-03-17 12:22:28,TCP,192.168.16.235:53976,20.195.84.7:443,ESTABLISHED
2026-03-17 12:22:49,TCP,127.0.1.1:8050,127.0.0.1:54006,ESTABLISHED
2026-03-17 12:22:49,TCP,127.0.0.1:54006,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:22:55,TCP,192.168.16.235:54019,52.110.15.134:443,ESTABLISHED
2026-03-17 12:22:55,TCP,192.168.16.235:54016,52.110.15.161:443,ESTABLISHED
2026-03-17 12:22:55,TCP,192.168.16.235:54018,52.110.15.134:443,ESTABLISHED
2026-03-17 12:22:55,TCP,192.168.16.235:54022,52.111.240.11:443,ESTABLISHED
2026-03-17 12:22:55,TCP,192.168.16.235:54017,52.110.15.134:443,ESTABLISHED
2026-03-17 12:22:55,TCP,192.168.16.235:54014,52.110.15.165:443,ESTABLISHED
2026-03-17 12:22:56,TCP,192.168.16.235:54015,20.190.146.32:443,ESTABLISHED
2026-03-17 12:22:56,TCP,192.168.16.235:54023,40.104.135.98:443,ESTABLISHED
2026-03-17 12:22:56,TCP,192.168.16.235:63242,150.171.110.85:443,ESTABLISHED
2026-03-17 12:22:57,TCP,192.168.16.235:63248,40.104.135.98:443,ESTABLISHED
2026-03-17 12:22:57,TCP,192.168.16.235:63249,40.104.135.98:443,ESTABLISHED
2026-03-17 12:22:58,TCP,192.168.16.235:63250,52.110.15.134:443,ESTABLISHED
2026-03-17 12:23:01,TCP,192.168.16.235:63255,20.42.73.28:443,ESTABLISHED
2026-03-17 12:23:02,TCP,192.168.16.235:63258,20.42.73.28:443,ESTABLISHED
2026-03-17 12:23:06,TCP,192.168.16.235:63490,20.205.69.80:443,ESTABLISHED
2026-03-17 12:23:09,TCP,192.168.16.235:63495,13.107.5.93:443,ESTABLISHED
2026-03-17 12:23:13,TCP,192.168.16.235:63509,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:14,TCP,192.168.16.235:63510,13.107.6.158:443,ESTABLISHED
2026-03-17 12:23:15,TCP,192.168.16.235:63511,140.82.114.21:443,ESTABLISHED
2026-03-17 12:23:16,TCP,192.168.16.235:63517,20.195.65.193:443,ESTABLISHED
2026-03-17 12:23:16,TCP,192.168.16.235:63512,20.195.65.193:443,ESTABLISHED
2026-03-17 12:23:22,TCP,192.168.16.235:63527,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:23,TCP,192.168.16.235:63531,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:23,TCP,192.168.16.235:63535,103.102.96.22:8080,ESTABLISHED
2026-03-17 12:23:23,TCP,192.168.16.235:63533,162.216.142.255:8080,ESTABLISHED
2026-03-17 12:23:23,TCP,192.168.16.235:63532,103.99.150.25:8080,ESTABLISHED
2026-03-17 12:23:27,TCP,192.168.16.235:63544,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:27,TCP,192.168.16.235:63545,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:27,TCP,192.168.16.235:63546,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63554,103.102.96.22:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63559,162.216.142.255:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63547,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63551,103.99.150.25:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63555,103.102.96.22:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63553,103.99.150.25:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63549,103.99.150.25:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63561,162.216.142.255:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63550,103.99.150.25:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63557,103.102.96.22:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63558,162.216.142.255:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63560,162.216.142.255:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63548,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63556,103.102.96.22:8080,ESTABLISHED
2026-03-17 12:23:28,TCP,192.168.16.235:63552,103.99.150.25:8080,ESTABLISHED
2026-03-17 12:23:31,TCP,192.168.16.235:63569,162.216.142.255:8080,ESTABLISHED
2026-03-17 12:23:31,TCP,192.168.16.235:63568,103.102.96.22:8080,ESTABLISHED
2026-03-17 12:23:33,TCP,192.168.16.235:63579,20.195.65.193:443,ESTABLISHED
2026-03-17 12:23:33,TCP,192.168.16.235:63578,20.195.65.193:443,ESTABLISHED
2026-03-17 12:23:33,TCP,192.168.16.235:63577,13.107.6.158:443,ESTABLISHED
2026-03-17 12:23:39,TCP,127.0.0.1:63594,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:23:39,TCP,127.0.0.1:63595,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:23:39,TCP,127.0.1.1:8050,127.0.0.1:63595,ESTABLISHED
2026-03-17 12:23:39,TCP,127.0.1.1:8050,127.0.0.1:63594,ESTABLISHED
2026-03-17 12:23:43,TCP,192.168.16.235:63602,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:44,TCP,192.168.16.235:63608,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:44,TCP,192.168.16.235:63607,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:44,TCP,192.168.16.235:63603,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:23:46,TCP,192.168.16.235:63612,110.172.151.58:8080,ESTABLISHED
2026-03-17 12:24:03,TCP,192.168.16.235:63645,104.17.148.22:443,ESTABLISHED
2026-03-17 12:24:07,TCP,192.168.16.235:63656,151.101.158.219:443,ESTABLISHED
